UserID,UserName,Department,Country,AccountStatus
1,Nakul Brown,Engineering,UK,Active
2,Anisha Sharma,Finance,Canada,Active
3,Harmanjit Chaudhary,Finance,USA,Active
4,Nakul John,Security,Canada,Active
5,Simran Brown,Finance,Canada,Active
6,Binil Taylor,Marketing,Canada,Active
7,Binil Singh,HR,Canada,Active
8,Binil Patel,Engineering,Canada,Active
9,Sahib Patel,Sales,Canada,Active
10,Binil Chaudhary,Security,India,Active
11,Priya Patel,HR,India,Active
12,Aman Patel,Sales,USA,Active
13,Rahul Chaudhary,Finance,Canada,Inactive
14,Karan Taylor,HR,Canada,Active
15,Simran Taylor,HR,Canada,Active
16,Binil Brown,HR,Canada,Active
17,Aman Chaudhary,Cloud,Canada,Active
18,Nakul Wilson,IT,Canada,Active
19,Nakul Chaudhary,Cloud,Canada,Active
20,Karan Kaur,Sales,Canada,Active
21,Sahib Chaudhary,Finance,USA,Active
22,Simran Kaur,Cloud,Canada,Active
23,Priya Taylor,HR,Canada,Active
24,Sahib John,IT,Canada,Active
25,Rahul Kaur,HR,Canada,Active
26,Anisha Taylor,Finance,USA,Active
27,Priya Chaudhary,Marketing,Canada,Active
28,Nakul Yadav,Cloud,USA,Inactive
29,Nakul Taylor,Marketing,USA,Active
30,Nakul Singh,Sales,Canada,Inactive
31,Harmanjit Chaudhary,Marketing,Canada,Active
32,Nakul Kaur,HR,Canada,Active
33,Rahul Patel,Sales,India,Active
34,Nakul Sharma,Finance,Canada,Active
35,Harmanjit Wilson,Finance,Canada,Active
36,Nakul Kaur,Cloud,Canada,Active
37,Nakul Brown,IT,Canada,Active
38,Anisha Taylor,Finance,Canada,Active
39,Harmanjit Brown,Engineering,Canada,Active
40,Anisha Singh,Engineering,Canada,Active
41,Aman Brown,HR,India,Active
42,Nakul Wilson,Engineering,Canada,Active
43,Karan Taylor,Engineering,Canada,Active
44,Priya Kaur,Finance,Canada,Active
45,Sahib Taylor,Cloud,Canada,Inactive
46,Nakul Singh,Engineering,Canada,Active
47,Binil Taylor,Marketing,USA,Active
48,Aman Yadav,Finance,UK,Active
49,Binil Yadav,Marketing,India,Active
50,Priya Patel,Finance,Canada,Active
51,Karan Brown,Finance,Canada,Active
52,Priya Sharma,Marketing,USA,Inactive
53,Binil Brown,Cloud,Canada,Active
54,Priya Wilson,Finance,Canada,Active
55,Priya John,Marketing,Canada,Active
56,Anisha Brown,Security,India,Active
57,Anisha Yadav,Finance,Canada,Active
58,Nakul Singh,HR,Canada,Active
59,Sahib Kaur,Finance,India,Active
60,Harmanjit Wilson,Security,UK,Active
61,Sahib Taylor,Security,Canada,Active
62,Simran Wilson,Engineering,USA,Active
63,Priya Patel,Finance,Canada,Active
64,Priya John,Engineering,Canada,Active
65,Nakul Yadav,Sales,Canada,Inactive
66,Karan Kaur,Sales,Canada,Active
67,Karan Singh,Security,Canada,Active
68,Harmanjit Brown,Cloud,Canada,Active
69,Aman Kaur,Security,Canada,Active
70,Sahib Yadav,Security,Canada,Inactive
71,Sahib Chaudhary,Marketing,Canada,Active
72,Karan Yadav,Security,USA,Active
73,Harmanjit Chaudhary,HR,Canada,Active
74,Harmanjit Patel,Engineering,Canada,Active
75,Sahib Sharma,Engineering,Canada,Active
76,Nakul Wilson,Sales,Canada,Active
77,Sahib Patel,HR,UK,Inactive
78,Harmanjit Yadav,Engineering,Canada,Active
79,Binil John,Finance,Canada,Active
80,Karan Brown,Cloud,Canada,Active
81,Aman Singh,Engineering,Canada,Active
82,Binil Taylor,Engineering,USA,Active
83,Aman Kaur,IT,Canada,Active
84,Simran Chaudhary,Security,USA,Inactive
85,Aman Chaudhary,Security,Canada,Active
86,Simran John,HR,Canada,Active
87,Harmanjit Yadav,Engineering,Canada,Active
88,Rahul Taylor,Finance,USA,Active
89,Anisha Patel,Sales,Canada,Active
90,Anisha Patel,IT,Canada,Active
91,Anisha Brown,IT,Canada,Active
92,Sahib Yadav,Cloud,India,Active
93,Harmanjit John,Security,Canada,Active
94,Anisha Patel,IT,Canada,Active
95,Priya Singh,IT,Canada,Active
96,Karan Taylor,Sales,Canada,Active
97,Nakul Chaudhary,Security,USA,Active
98,Karan Wilson,Marketing,Canada,Active
99,Simran Kaur,Engineering,Canada,Active
100,Nakul Brown,Cloud,Canada,Active
